combination_id,matches_correct,current_price_live,rsi_live,moving_average_live,moving_average_return_live,cumulative_return_live,exponential_moving_average_price_live,max_drawdown_live,stdev_return_live,allocation,error
127,False,False,True,True,True,True,True,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
128,False,True,False,False,False,False,False,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
129,False,True,False,False,False,False,False,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
130,False,True,False,False,False,False,False,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
131,False,True,False,False,False,False,False,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
132,False,True,False,False,False,False,True,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
133,False,True,False,False,False,False,True,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
134,False,True,False,False,False,False,True,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
135,False,True,False,False,False,False,True,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
136,False,True,False,False,False,True,False,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
137,False,True,False,False,False,True,False,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
138,False,True,False,False,False,True,False,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
139,False,True,False,False,False,True,False,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
140,False,True,False,False,False,True,True,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
141,False,True,False,False,False,True,True,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
142,False,True,False,False,False,True,True,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
143,False,True,False,False,False,True,True,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
144,False,True,False,False,True,False,False,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
145,False,True,False,False,True,False,False,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
146,False,True,False,False,True,False,False,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
147,False,True,False,False,True,False,False,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
148,False,True,False,False,True,False,True,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
149,False,True,False,False,True,False,True,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
150,False,True,False,False,True,False,True,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
151,False,True,False,False,True,False,True,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
152,False,True,False,False,True,True,False,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
153,False,True,False,False,True,True,False,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
154,False,True,False,False,True,True,False,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
155,False,True,False,False,True,True,False,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
156,False,True,False,False,True,True,True,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
157,False,True,False,False,True,True,True,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
158,False,True,False,False,True,True,True,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
159,False,True,False,False,True,True,True,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
160,False,True,False,True,False,False,False,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
161,False,True,False,True,False,False,False,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
162,False,True,False,True,False,False,False,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
163,False,True,False,True,False,False,False,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
164,False,True,False,True,False,False,True,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
165,False,True,False,True,False,False,True,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
166,False,True,False,True,False,False,True,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
167,False,True,False,True,False,False,True,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
168,False,True,False,True,False,True,False,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
169,False,True,False,True,False,True,False,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
170,False,True,False,True,False,True,False,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
171,False,True,False,True,False,True,False,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
172,False,True,False,True,False,True,True,False,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
173,False,True,False,True,False,True,True,False,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
174,False,True,False,True,False,True,True,True,False,BIL:0.6479; LABU:0.1593; SARK:0.1929,
175,False,True,False,True,False,True,True,True,True,BIL:0.6437; LABU:0.1613; SARK:0.1950,
176,False,True,False,True,True,False,False,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
177,False,True,False,True,True,False,False,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
178,False,True,False,True,True,False,False,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
179,False,True,False,True,True,False,False,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
180,False,True,False,True,True,False,True,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
181,False,True,False,True,True,False,True,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
182,False,True,False,True,True,False,True,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
183,False,True,False,True,True,False,True,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
184,False,True,False,True,True,True,False,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
185,False,True,False,True,True,True,False,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
186,False,True,False,True,True,True,False,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
187,False,True,False,True,True,True,False,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
188,False,True,False,True,True,True,True,False,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
189,False,True,False,True,True,True,True,False,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
190,False,True,False,True,True,True,True,True,False,BIL:0.6296; FNGG:0.1830; SARK:0.1874,
191,False,True,False,True,True,True,True,True,True,BIL:0.6279; FNGG:0.1819; SARK:0.1902,
192,False,True,True,False,False,False,False,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
193,False,True,True,False,False,False,False,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
194,False,True,True,False,False,False,False,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
195,False,True,True,False,False,False,False,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
196,False,True,True,False,False,False,True,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
197,False,True,True,False,False,False,True,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
198,False,True,True,False,False,False,True,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
199,False,True,True,False,False,False,True,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
200,False,True,True,False,False,True,False,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
201,False,True,True,False,False,True,False,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
202,False,True,True,False,False,True,False,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
203,False,True,True,False,False,True,False,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
204,False,True,True,False,False,True,True,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
205,False,True,True,False,False,True,True,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
206,False,True,True,False,False,True,True,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
207,False,True,True,False,False,True,True,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
208,False,True,True,False,True,False,False,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
209,False,True,True,False,True,False,False,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
210,False,True,True,False,True,False,False,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
211,False,True,True,False,True,False,False,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
212,False,True,True,False,True,False,True,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
213,False,True,True,False,True,False,True,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
214,False,True,True,False,True,False,True,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
215,False,True,True,False,True,False,True,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
216,False,True,True,False,True,True,False,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
217,False,True,True,False,True,True,False,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
218,False,True,True,False,True,True,False,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
219,False,True,True,False,True,True,False,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
220,False,True,True,False,True,True,True,False,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
221,False,True,True,False,True,True,True,False,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
222,False,True,True,False,True,True,True,True,False,BIL:0.5046; DRV:0.1605; PSQ:0.1846; SARK:0.1502,
223,False,True,True,False,True,True,True,True,True,BIL:0.5047; DRV:0.1591; PSQ:0.1833; SARK:0.1529,
224,False,True,True,True,False,False,False,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
225,False,True,True,True,False,False,False,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
226,False,True,True,True,False,False,False,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
227,False,True,True,True,False,False,False,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
228,False,True,True,True,False,False,True,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
229,False,True,True,True,False,False,True,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
230,False,True,True,True,False,False,True,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
231,False,True,True,True,False,False,True,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
232,False,True,True,True,False,True,False,False,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
233,False,True,True,True,False,True,False,False,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
234,False,True,True,True,False,True,False,True,False,BIL:0.4881; PSQ:0.1786; SARK:0.1453; TYO:0.1881,
235,False,True,True,True,False,True,False,True,True,BIL:0.4866; PSQ:0.1768; SARK:0.1474; TYO:0.1892,
